Floating Point Number,Total Completed,Time/Number (s),ETA (s)
1,1,0.0006253719329833984,6.253093957901001
1000,1000,0.000375995397567749,3.383958578109741
2000,2000,0.0003580148220062256,2.8641185760498047
3000,3000,0.0003511961301167806,2.4583729108174643
4000,4000,0.00035067009925842285,2.104020595550537
5000,5000,0.00035102157592773435,1.7551078796386717
6000,6000,0.0003493320147196452,1.3973280588785808
7000,7000,0.000347609281539917,1.042827844619751
8000,8000,0.00034636667370796205,0.6927333474159241
9000,9000,0.0003459369076622857,0.3459369076622857
10000,10000,0.00034510188102722167,0.0
